Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12594,110.45,63,0.55,58,251,2.2,1,0.01,0,Community transmission
Belize,Americas,12335,3102.15,22,5.53,0,315,79.22,1,0.25,0,Community transmission
Burkina Faso,Africa,12187,58.3,140,0.67,6,143,0.68,0,0,0,Community transmission
Andorra,Europe,11089,14351.91,181,234.26,20,112,144.96,2,2.59,0,Community transmission
Lesotho,Africa,10523,491.21,28,1.31,0,308,14.38,13,0.61,0,Community transmission
Guadeloupe,Americas,10458,2613.69,490,122.46,0,168,41.99,4,1,0,Community transmission
Congo,Africa,9329,169.06,509,9.22,150,131,2.37,3,0.05,0,Community transmission
Suriname,Americas,8980,1530.77,47,8.01,3,175,29.83,2,0.34,0,Clusters of cases
South Sudan,Africa,8870,79.24,726,6.49,0,102,0.91,7,0.06,0,Community transmission
Guyana,Americas,8814,1120.59,219,27.84,7,203,25.81,6,0.76,2,Clusters of cases
Mali,Africa,8710,43.01,290,1.43,97,358,1.77,3,0.01,0,Community transmission
Bahamas,Americas,8642,2197.62,78,19.84,1,185,47.04,5,1.27,2,Clusters of cases
Somalia,Eastern Mediterranean,8577,53.97,1059,6.66,139,319,2.01,70,0.44,12,Community transmission
Aruba,Americas,8127,7611.97,219,205.12,17,77,72.12,3,2.81,0,Community transmission
Trinidad and Tobago,Americas,7736,552.77,20,1.43,0,140,10,1,0.07,1,Community transmission
Togo,Africa,7680,92.77,594,7.18,82,92,1.11,7,0.08,0,Community transmission
Guam,Western Pacific,7543,4469.26,10,5.93,1,133,78.8,2,1.19,0,Clusters of cases
Martinique,Americas,6886,1834.97,140,37.31,0,47,12.52,2,0.53,0,Community transmission
Benin,Africa,6504,53.65,433,3.57,166,81,0.67,6,0.05,0,Community transmission
Equatorial Guinea,Africa,6371,454.1,276,19.67,0,96,6.84,4,0.29,0,Community transmission
Djibouti,Eastern Mediterranean,6181,625.61,92,9.31,24,63,6.38,0,0,0,Community transmission
Iceland,Europe,6067,1777.91,12,3.52,3,29,8.5,0,0,0,Community transmission
Nicaragua,Americas,5216,78.74,40,0.6,40,175,2.64,1,0.02,1,Community transmission
Central African Republic,Africa,5021,103.96,24,0.5,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4829,19.95,89,0.37,0,177,0.73,5,0.02,0,Community transmission
Curaçao,Americas,4813,2933.09,82,49.97,6,22,13.41,0,0,0,Community transmission
Gambia,Africa,4759,196.92,47,1.94,0,152,6.29,2,0.08,0,Community transmission
Gibraltar,Europe,4249,12611.68,10,29.68,0,93,276.04,0,0,0,Clusters of cases
Chad,Africa,4214,25.65,215,1.31,21,144,0.88,4,0.02,2,Community transmission
San Marino,Europe,3984,11739.05,193,568.68,0,77,226.88,3,8.84,0,Community transmission
Sierra Leone,Africa,3922,49.17,33,0.41,1,79,0.99,0,0,0,Community transmission
Saint Lucia,Americas,3902,2124.96,357,194.42,31,46,25.05,10,5.45,0,Community transmission
Comoros,Africa,3611,415.25,33,3.79,10,146,16.79,2,0.23,0,Community transmission
Mongolia,Western Pacific,3372,102.86,372,11.35,36,3,0.09,1,0.03,0,Clusters of cases
Barbados,Americas,3333,1159.81,218,75.86,48,37,12.88,1,0.35,0,Community transmission
Guinea-Bissau,Africa,3319,168.65,48,2.44,7,49,2.49,1,0.05,0,Community transmission
Jersey,Europe,3220,2959.56,3,2.76,0,69,63.42,0,0,0,Community transmission
Seychelles,Africa,2989,3039.24,371,377.24,0,14,14.24,3,3.05,0,Community transmission
Eritrea,Africa,2944,83.01,60,1.69,0,7,0.2,0,0,0,Community transmission
United States Virgin Islands,Americas,2744,2627.72,74,70.86,30,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2670,7001.08,12,31.47,0,53,138.97,1,2.62,0,Sporadic cases
Yemen,Eastern Mediterranean,2590,8.68,244,0.82,41,655,2.2,14,0.05,1,Community transmission
Viet Nam,Western Pacific,2526,2.6,51,0.05,2,35,0.04,0,0,0,Clusters of cases
Burundi,Africa,2369,19.92,129,1.08,30,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,2177,5622.71,63,162.72,0,15,38.74,1,2.58,0,Clusters of cases
Sint Maarten,Americas,2074,4836.53,14,32.65,4,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,2054,42.59,27,0.56,1,26,0.54,0,0,0,Clusters of cases
Monaco,Europe,2048,5218.63,76,193.66,20,26,66.25,1,2.55,0,Sporadic cases
Liberia,Africa,2024,40.02,10,0.2,0,85,1.68,0,0,0,Community transmission
Sao Tome and Principe,Africa,1977,902.08,137,62.51,16,32,14.6,2,0.91,0,Community transmission
Papua New Guinea,Western Pacific,1741,19.46,376,4.2,71,21,0.23,5,0.06,5,Community transmission
Saint Vincent and the Grenadines,Americas,1663,1499.01,35,31.55,0,8,7.21,0,0,0,Community transmission
Saint Martin,Americas,1581,4089.6,27,69.84,0,12,31.04,0,0,0,Community transmission
Cambodia,Western Pacific,1124,6.72,246,1.47,64,0,0,0,0,0,Sporadic cases
Bhutan,South-East Asia,868,112.49,1,0.13,0,1,0.13,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,862,880.23,93,94.97,14,22,22.47,5,5.11,1,Clusters of cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Isle of Man,Europe,757,890.25,271,318.7,0,25,29.4,0,0,0,No cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,724,1162.62,11,17.66,2,12,19.27,0,0,0,Sporadic cases
Saint Barthélemy,Americas,671,6788.06,59,596.86,0,0,0,0,0,0,Clusters of cases
Faroe Islands,Europe,660,1350.66,2,4.09,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,641,50.4,22,1.73,0,10,0.79,0,0,0,Sporadic cases
Bonaire,Americas,538,2572.32,119,568.97,24,5,23.91,1,4.78,0,Community transmission
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,451,686.24,7,10.65,0,2,3.04,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,191,43.66,4,0.91,1,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,154,509.31,1,3.31,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,151,209.75,7,9.72,7,0,0,0,0,0,Clusters of cases
Grenada,Americas,151,134.19,3,2.67,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,146,253.66,2,3.47,0,2,3.47,0,0,0,Pending
Timor-Leste,South-East Asia,142,10.77,29,2.2,13,0,0,0,0,0,Clusters of cases
New Caledonia,Western Pacific,70,24.52,12,4.2,3,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,66,7.36,7,0.78,0,2,0.22,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,64,569.09,55,489.06,2,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,47,0.65,2,0.03,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,1,1.76,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,2,0.65,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
